"","senescent_N_mg.g","green_N_mg.g","Record_number","genus","species","genus_species","MYCO_ASSO","SPCD"
"Acacia_nilotica",17.8,19.2,370,"Acacia","nilotica","Acacia_nilotica","AM",6013
"Acer_rubrum",6.87777777777778,16.3444444444444,733,"Acer","rubrum","Acer_rubrum","AM",316
"Acer_saccharum",6.6,20.525,744.5,"Acer","saccharum","Acer_saccharum","AM",318
"Anacardium_occidentale",10.9,21.8,73,"Anacardium","occidentale","Anacardium_occidentale","AM",6107
"Azadirachta_indica",13.2,30.5,410,"Azadirachta","indica","Azadirachta_indica","AM",6206
"Bauhinia_variegata",13.95,29.5,672,"Bauhinia","variegata","Bauhinia_variegata","AM",6232
"Bixa_orellana",15,27.7,74,"Bixa","orellana","Bixa_orellana","AM",6238
"Carapa_guianensis",10.9,13.3,104,"Carapa","guianensis","Carapa_guianensis","AM",6393
"Cassia_fistula",7.9,22,414,"Cassia","fistula","Cassia_fistula","AM",6415
"Cecropia_schreberiana",9.9,22,529,"Cecropia","schreberiana","Cecropia_schreberiana","AM",6443
"Cercis_canadensis",10.7,23.325,729.5,"Cercis","canadensis","Cercis_canadensis","AM",471
"Cinnamomum_camphora",11,15.6,282,"Cinnamomum","camphora","Cinnamomum_camphora","AM",858
"Clidemia_hirta",7.5,15.6,793,"Clidemia","hirta","Clidemia_hirta","AM",6642
"Cornus_florida",8.3625,18.1125,695.5,"Cornus","florida","Cornus_florida","AM",491
"Crescentia_cujete",10.5,20,381,"Crescentia","cujete","Crescentia_cujete","AM",6761
"Dacryodes_excelsa",5.3,13,530,"Dacryodes","excelsa","Dacryodes_excelsa","AM",6867
"Dalbergia_sissoo",13.3,20.9,416,"Dalbergia","sissoo","Dalbergia_sissoo","AM",6869
"Faramea_occidentalis",12.5,14,493,"Faramea","occidentalis","Faramea_occidentalis","AM",7146
"Ficus_benghalensis",6.6,12.9,385,"Ficus","benghalensis","Ficus_benghalensis","AM",7149
"Ficus_carica",17.8,31.6,417,"Ficus","carica","Ficus_carica","AM",7151
"Ficus_religiosa",8.6,14.8,418,"Ficus","religiosa","Ficus_religiosa","AM",7166
"Fraxinus_americana",10.6,20.6,712.5,"Fraxinus","americana","Fraxinus_americana","AM",541
"Guarea_guidonia",12.3,29.6,531,"Guarea","guidonia","Guarea_guidonia","AM",7290
"Lagerstroemia_speciosa",11.4,20.3,423,"Lagerstroemia","speciosa","Lagerstroemia_speciosa","AM",7533
"Laguncularia_racemosa",6.5,10,762,"Laguncularia","racemosa","Laguncularia_racemosa","AM",988
"Liquidambar_styraciflua",4.76,11.94,739,"Liquidambar","styraciflua","Liquidambar_styraciflua","AM",611
"Liriodendron_tulipifera",7.96666666666667,20.9666666666667,764,"Liriodendron","tulipifera","Liriodendron_tulipifera","AM",621
"Magnolia_grandiflora",4.9,13.4,392,"Magnolia","grandiflora","Magnolia_grandiflora","AM",652
"Nyssa_sylvatica",5.05,16.15,833,"Nyssa","sylvatica","Nyssa_sylvatica","AM",693
"Prosopis_glandulosa",26,35,814,"Prosopis","glandulosa","Prosopis_glandulosa","AM",756
"Prunus_serotina",8.46666666666667,22.7,775,"Prunus","serotina","Prunus_serotina","AM",762
"Pterocarpus_marsupium",15.4,24.8,452,"Pterocarpus","marsupium","Pterocarpus_marsupium","AM",8409
"Rhizophora_mangle",5.53333333333333,11.1833333333333,391.5,"Rhizophora","mangle","Rhizophora_mangle","AM",989
"Sambucus_nigra",19.1,38.1,552,"Sambucus","nigra","Sambucus_nigra","AM",8509
"Schleichera_oleosa",7.3,17.9,431,"Schleichera","oleosa","Schleichera_oleosa","AM",8567
"Syzygium_cumini",10,20.6,458,"Syzygium","cumini","Syzygium_cumini","AM",896
"Tectona_grandis",14.9333333333333,20.9666666666667,438,"Tectona","grandis","Tectona_grandis","AM",8744
"Terminalia_superba",12.4,22.3,109,"Terminalia","superba","Terminalia_superba","AM",8761
"Thuja_occidentalis",6.2,12.8,159,"Thuja","occidentalis","Thuja_occidentalis","AM",241
"Ulmus_americana",10.1,19.4,160,"Ulmus","americana","Ulmus_americana","AM",972
